,Council District,Organization Code,School Level,Economically Disadvantaged Rate,operating_fund: Principals/Assistant Principals,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Secretaries,operating_fund: Support Services Assistants,operating_fund: Student Climate Staff,operating_fund: Other,operating_fund: Total Positions,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Principals/Assistant Principals,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Secretaries,grant_fund: Support Services Assistants,grant_fund: Student Climate Staff,grant_fund: Other,grant_fund: Total Positions,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,enrollment,budget_year
0,2nd,1380,Elementary School,83.44%,2.0,30.2,6.0,1.2,0.6,11.0,1.0,0.0,8.0,0.0,60.0,32272.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,16.1,198454.0,842.0,FY14
1,4th,4370,Elementary School,79.34%,1.0,11.8,2.0,1.0,0.2,0.0,1.0,0.0,2.0,0.0,19.0,6343.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.8,71567.0,256.0,FY14
2,8th,5070,High School,54.18%,1.0,12.6,1.0,1.0,0.3,0.0,1.0,0.0,2.0,0.0,18.9,76173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55598.0,285.0,FY14
3,3rd,1260,K‐8 School,84.48%,1.0,19.8,3.0,1.0,0.4,3.0,1.0,0.0,3.0,0.0,32.2,27663.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,207506.0,551.0,FY14
4,7th,5420,K‐8 School,86.01%,1.0,22.3,3.0,0.9,0.4,0.0,1.0,0.0,5.0,0.0,33.6,8127.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,126627.0,525.0,FY14
5,5th,2140,Middle Secondary,19.97%,2.0,53.5,2.0,2.0,1.3,4.0,2.2,0.0,2.0,1.0,70.0,27159.0,0.0,1.5,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,2.3,30478.0,1179.0,FY14
6,9th,6350,K‐8 School,73.92%,1.0,15.4,6.0,0.5,0.4,5.0,1.0,3.0,3.0,0.0,35.2,25961.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,60008.0,415.0,FY14
7,1st,2510,K‐8 School,61.82%,1.0,21.0,4.0,0.5,0.3,4.0,1.0,0.0,4.0,0.0,35.8,13180.0,0.0,3.3,0.0,1.2,0.0,0.0,0.0,3.0,0.0,0.0,7.5,84350.0,458.0,FY14
8,9th,7400,K‐8 School,73.64%,2.0,36.1,7.0,1.4,1.0,4.0,1.0,0.0,8.0,0.0,60.5,46170.0,0.0,5.7,0.0,0.4,0.0,0.0,0.0,4.0,0.0,0.0,10.1,96764.0,861.0,FY14
9,4th,1030,High School,69.79%,2.0,28.3,11.0,1.0,1.0,7.0,1.0,1.0,5.0,0.0,57.3,162534.0,0.0,3.2,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,9.2,100103.0,695.0,FY14
10,3rd,1460,K‐8 School,81.08%,1.0,21.4,3.0,1.0,1.0,4.0,1.0,2.0,6.0,0.0,40.4,10768.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,208208.0,534.0,FY14
11,3rd,1580,Middle School,74.72%,1.0,14.2,2.0,1.0,0.2,6.0,1.0,0.0,2.0,0.0,27.4,12712.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,51597.0,300.0,FY14
12,5th,4570,K‐8 School,89.54%,1.0,17.0,5.0,1.0,0.3,4.0,1.0,0.0,3.0,0.0,32.2,22126.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,10.8,148881.0,389.0,FY14
13,6th,8340,Elementary School,75.02%,2.0,53.3,10.0,2.4,1.4,17.0,1.0,0.0,9.0,0.0,96.1,46992.0,0.0,7.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,7.5,190824.0,1318.0,FY14
14,7th,7200,Elementary School,81.37%,1.0,29.4,4.0,1.4,1.0,9.0,1.0,1.0,6.0,0.0,53.8,29692.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,225390.0,853.0,FY14
15,5th,7510,K‐8 School,87.07%,1.0,28.8,3.0,1.2,1.0,2.0,1.0,0.0,5.0,0.0,43.0,28596.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,175268.0,732.0,FY14
16,3rd,2050,Middle School,46.89%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY14
17,7th,5530,Elementary School,87.96%,2.0,27.9,6.0,1.4,0.6,4.0,1.0,0.0,8.0,0.0,50.9,18110.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,12.7,257921.0,736.0,FY14
18,5th,5160,Middle Secondary,79.44%,1.0,27.6,11.0,1.0,0.6,9.0,1.0,0.0,2.0,0.0,53.2,109440.0,1.0,4.9,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,7.4,695549.0,609.0,FY14
19,8th,4380,Elementary School,85.69%,1.0,15.5,4.0,1.0,0.6,2.0,1.0,0.0,3.0,0.0,28.1,23221.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.7,193627.0,398.0,FY14
20,3rd,1370,K‐8 School,83.60%,1.0,23.5,4.0,1.0,0.6,2.0,1.0,0.0,4.0,0.0,37.1,41981.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10.1,191018.0,666.0,FY14
21,3rd,1290,K‐8 School,85.16%,1.0,23.5,7.0,1.0,0.5,9.0,1.0,0.0,3.0,0.0,46.0,31925.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.2,75390.0,587.0,FY14
22,5th,5080,High School,59.57%,1.0,22.8,1.0,1.0,0.5,0.0,1.0,1.0,6.0,0.0,34.3,70342.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,107797.0,557.0,FY14
23,5th,2650,High School,32.05%,1.0,24.6,2.0,2.0,0.4,2.0,1.0,0.0,1.0,0.0,34.0,22612.0,0.0,5.6,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.6,30938.0,601.0,FY14
24,8th,6440,K‐8 School,64.13%,1.0,19.9,3.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,29.9,23546.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,75257.0,418.0,FY14
25,8th,6010,High School,41.79%,3.0,95.0,0.0,2.0,2.0,1.0,2.0,0.0,4.0,0.0,109.0,35876.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,40136.0,2311.0,FY14
26,7th,7310,Elementary School,80.32%,1.0,28.9,6.0,0.9,0.5,8.0,1.0,0.0,6.0,0.0,52.3,12827.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.8,92295.0,671.0,FY14
27,5th,4030,Middle Secondary,42.81%,1.0,32.4,1.0,1.0,0.7,1.0,1.0,0.0,3.0,1.0,42.1,58471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88374.0,755.0,FY14
28,6th,8250,Elementary School,74.75%,2.0,39.3,7.0,1.2,1.2,1.0,1.0,0.0,9.0,0.0,61.7,32956.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,185587.0,1115.0,FY14
29,3rd,1490,K‐8 School,84.11%,1.0,19.9,6.0,1.0,0.5,5.0,1.0,0.0,5.0,0.0,39.3,67051.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,14.2,156867.0,509.0,FY14
30,7th,5680,K‐8 School,86.46%,2.0,32.0,11.0,1.0,1.0,15.0,1.0,2.0,1.0,0.0,66.0,7614.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,12.8,158737.0,709.0,FY14
31,5th,4460,K‐8 School,87.35%,1.0,21.7,3.0,1.0,0.5,0.0,1.0,1.0,3.0,0.0,32.2,89163.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.5,117766.0,591.0,FY14
32,7th,5330,K‐8 School,84.13%,1.0,22.9,8.0,0.7,1.0,10.0,1.0,0.0,5.0,0.0,49.6,5122.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.6,115165.0,516.0,FY14
33,4th,6320,K‐8 School,71.70%,1.0,14.0,2.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,20.5,18567.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,109543.0,298.0,FY14
34,2nd,2480,K‐8 School,60.69%,1.0,14.2,6.0,1.0,0.4,5.0,1.0,0.0,1.0,0.0,29.6,17791.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,56375.0,307.0,FY14
35,6th,7470,K‐8 School,61.93%,1.0,18.2,5.0,1.0,0.3,4.0,1.0,0.0,3.0,0.0,33.5,25394.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.2,87930.0,497.0,FY14
36,10th,8160,Middle School,49.90%,2.0,55.8,12.0,1.2,1.2,10.0,1.0,0.0,7.0,0.0,90.2,50103.0,0.0,0.2,0.0,0.4,0.0,4.0,0.0,1.0,0.0,0.0,5.6,102152.0,1238.0,FY14
37,3rd,4300,K‐8 School,85.74%,1.0,20.6,5.0,1.0,1.0,9.0,1.0,0.0,5.0,0.0,43.6,68299.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.8,181191.0,529.0,FY14
38,9th,7270,K‐8 School,72.94%,1.0,34.2,5.0,1.2,1.0,1.0,1.0,2.0,5.0,0.0,51.4,55420.0,0.0,5.9,0.0,0.4,0.0,0.0,0.0,3.0,0.0,0.0,9.3,109212.0,850.0,FY14
39,4th,6090,High School,71.67%,2.0,30.9,4.0,1.0,0.8,0.0,1.0,0.0,4.0,1.0,44.7,75277.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,201475.0,535.0,FY14
40,8th,7390,K‐8 School,83.10%,1.0,30.0,7.0,1.4,1.0,6.0,1.0,0.0,5.0,1.0,53.4,23915.0,0.0,6.4,0.0,0.8,0.0,0.0,0.0,6.0,0.0,0.0,13.2,97582.0,678.0,FY14
41,5th,5250,K‐8 School,82.80%,1.0,13.7,4.0,2.0,0.4,5.0,1.0,0.0,1.0,0.0,28.1,78366.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.5,31809.0,237.0,FY14
42,3rd,1410,K‐8 School,86.92%,1.0,23.2,4.0,1.0,0.5,8.0,1.0,2.0,4.0,0.0,44.7,33689.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,14.2,170026.0,601.0,FY14
43,3rd,1300,K‐8 School,81.20%,1.0,20.4,6.0,0.5,0.4,3.0,1.0,2.0,3.0,0.0,37.3,54627.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,14.8,96091.0,515.0,FY14
44,10th,8420,K‐8 School,46.87%,2.0,41.5,10.0,1.0,1.0,13.0,1.0,0.0,7.0,0.0,76.5,31854.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,7.7,112392.0,1035.0,FY14
45,8th,7130,Middle School,75.35%,2.0,22.8,7.0,0.5,0.6,3.0,1.0,0.0,6.0,0.0,42.9,59049.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,70323.0,578.0,FY14
46,1st,2590,K‐8 School,65.14%,1.0,15.9,6.0,1.1,0.3,12.0,1.0,0.0,6.0,0.0,43.2,28333.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,33587.0,312.0,FY14
47,2nd,2470,K‐8 School,17.07%,1.0,23.9,6.0,1.0,0.6,20.0,1.0,0.0,3.0,0.0,56.5,52928.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.8,174791.0,572.0,FY14
48,2nd,2020,High School,40.49%,1.0,30.0,3.0,1.0,0.6,4.0,1.0,1.0,5.0,0.0,46.6,32160.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,15041.0,708.0,FY14
49,8th,6230,K‐8 School,72.15%,1.0,13.6,1.0,1.0,0.2,2.0,1.0,0.0,2.0,0.0,21.8,4949.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,32893.0,264.0,FY14
50,5th,5340,K‐8 School,80.76%,1.0,13.8,7.0,0.5,0.3,5.0,1.0,1.0,4.0,0.0,33.5,16522.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,74108.0,333.0,FY14
51,2nd,2620,High School,55.90%,1.0,34.4,3.0,1.0,0.6,1.0,1.0,0.0,3.0,0.0,45.0,60816.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,60554.0,817.0,FY14
52,9th,7280,K‐8 School,75.99%,2.0,39.1,6.0,1.4,1.2,2.0,1.0,0.0,8.0,0.0,60.7,47981.0,0.0,5.3,0.0,0.2,0.0,0.0,0.0,2.0,0.0,0.0,7.5,109631.0,1005.0,FY14
53,8th,6060,High School,73.69%,3.0,43.5,23.0,3.0,1.2,16.0,1.0,0.0,12.0,1.0,103.7,254349.0,0.0,5.7,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,16.7,160239.0,1107.0,FY14
54,5th,2390,K‐8 School,85.62%,1.0,21.6,5.0,1.0,0.4,10.0,1.0,0.0,3.0,0.0,43.0,99438.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.4,253530.0,552.0,FY14
55,7th,7730,Middle School,87.75%,1.0,25.4,9.0,2.0,1.0,6.0,1.0,2.0,2.0,0.0,49.4,197775.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,70701.0,518.0,FY14
56,4th,4020,High School,73.53%,2.0,37.8,12.0,2.0,1.2,5.0,1.0,0.0,7.0,0.0,68.0,11691.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,120441.0,975.0,FY14
57,6th,8240,K‐8 School,75.58%,2.0,33.7,9.0,1.2,1.0,0.0,1.0,4.0,6.0,0.0,58.0,33151.0,0.0,6.0,0.0,0.5,0.0,0.0,0.0,3.0,0.0,1.0,10.4,197936.0,854.0,FY14
58,5th,4470,Elementary School,86.68%,1.0,14.6,6.0,1.0,0.3,7.0,1.0,0.0,4.0,0.0,34.9,73282.0,0.0,5.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,6.6,76889.0,376.0,FY14
59,2nd,1130,Middle School,78.27%,1.0,29.5,6.0,1.0,0.6,5.0,1.0,0.0,8.0,0.0,52.1,54924.0,0.0,3.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.4,103781.0,678.0,FY14
60,5th,5320,K‐8 School,87.52%,1.0,24.1,6.0,1.0,0.4,9.0,1.0,0.0,6.0,0.0,48.5,65235.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,135309.0,559.0,FY14
61,1st,2640,K‐8 School,74.56%,1.0,30.1,4.0,2.2,0.4,4.0,1.0,0.0,4.0,0.0,46.7,33431.0,0.0,3.4,0.0,0.8,0.0,0.0,0.0,4.0,0.0,0.0,8.2,83221.0,564.0,FY14
62,4th,6450,K‐8 School,53.16%,1.0,13.7,6.0,0.5,1.0,11.0,1.0,0.0,2.0,0.0,36.2,6737.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.8,55879.0,296.0,FY14
63,5th,2210,K‐8 School,61.17%,2.0,19.1,9.0,0.5,1.0,13.0,1.0,0.0,5.0,0.0,50.6,25261.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,119419.0,414.0,FY14
64,7th,7300,K‐8 School,80.40%,2.0,38.6,9.0,1.6,1.2,6.0,1.0,0.0,8.0,0.0,67.4,42694.0,0.0,9.9,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,10.4,112198.0,961.0,FY14
65,7th,5520,High School,78.32%,1.0,19.7,7.0,1.2,0.6,4.0,1.0,0.0,3.0,0.0,37.5,29208.0,0.0,2.2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.2,98592.0,447.0,FY14
66,7th,5170,K‐8 School,83.65%,2.0,36.7,8.0,1.0,1.0,7.0,1.0,0.0,9.0,0.0,65.7,62148.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,13.6,121273.0,834.0,FY14
67,3rd,1360,K‐8 School,83.60%,1.0,20.7,9.0,2.0,1.0,14.0,1.0,0.0,5.0,0.0,53.7,123293.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,10.3,80568.0,428.0,FY14
68,6th,8010,High School,67.78%,3.0,73.6,27.0,2.6,1.4,15.0,2.0,0.0,9.0,1.0,134.6,23958.0,0.0,4.0,0.0,1.0,0.0,15.0,0.0,3.0,0.0,1.0,24.0,110121.0,1579.0,FY14
69,3rd,1280,K‐8 School,27.57%,1.0,22.8,2.0,1.0,0.5,1.0,0.7,0.0,3.0,0.0,32.0,30256.0,0.0,9.8,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,10.1,248280.0,554.0,FY14
70,3rd,5090,High School,66.78%,1.0,13.2,3.0,1.0,0.2,1.0,1.0,0.0,2.0,0.0,22.4,37101.0,0.0,0.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.4,17706.0,317.0,FY14
71,5th,4270,K‐8 School,88.75%,1.0,18.8,3.0,1.0,0.4,0.0,1.0,0.0,4.0,0.0,29.2,76777.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,9.0,152279.0,467.0,FY14
72,10th,8440,Elementary School,59.82%,1.0,34.0,10.0,2.0,1.2,14.0,1.0,0.0,4.0,0.0,67.2,45624.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,228448.0,826.0,FY14
73,7th,7150,K‐8 School,78.88%,2.0,46.4,7.0,1.2,1.0,3.0,1.0,0.0,6.0,0.0,67.6,47243.0,0.0,8.1,0.0,0.2,0.0,0.0,0.0,4.0,0.0,0.0,12.3,215422.0,1107.0,FY14
74,7th,7500,Middle School,76.42%,1.0,28.0,8.0,0.9,0.5,2.0,1.0,0.0,4.0,0.0,45.4,26881.0,0.0,2.3,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,3.5,136255.0,596.0,FY14
75,2nd,2410,Middle Secondary,32.07%,1.0,23.0,2.0,1.0,0.4,0.0,1.0,0.0,3.0,0.0,31.4,34136.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,35932.0,515.0,FY14
76,8th,6250,K‐8 School,46.15%,1.0,20.8,6.0,1.0,0.4,15.0,1.0,0.0,4.0,0.0,49.2,14691.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.8,77940.0,478.0,FY14
77,4th,6540,High School,49.10%,1.0,13.4,1.0,1.0,0.3,1.0,1.0,1.0,1.0,0.0,20.7,24803.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61003.0,314.0,FY14
78,3rd,1020,High School,77.59%,2.0,31.1,12.0,2.5,1.0,9.0,1.0,0.0,4.0,0.0,62.6,238232.0,0.0,8.2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,12.2,291436.0,660.0,FY14
79,7th,5230,Middle School,72.84%,1.0,29.0,1.0,1.0,1.0,0.0,1.0,0.0,8.0,0.0,42.0,16653.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.2,63620.0,601.0,FY14
80,4th,4480,K‐8 School,57.35%,1.0,15.6,18.0,1.0,0.6,8.0,1.0,0.0,3.0,0.0,48.2,23577.0,0.0,0.9,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.5,45575.0,219.0,FY14
81,7th,5660,High School,79.92%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY14
82,3rd,1470,K‐8 School,86.80%,1.0,21.2,4.0,1.2,0.4,4.0,1.0,0.0,3.0,0.0,35.8,28667.0,0.0,5.0,0.0,0.5,0.0,0.0,0.0,3.0,0.0,0.0,8.5,145963.0,494.0,FY14
83,5th,4560,K‐8 School,87.31%,1.0,19.0,5.0,0.5,0.4,4.0,1.0,0.0,3.0,0.0,33.9,88685.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,11.0,357479.0,442.0,FY14
84,7th,8350,K‐8 School,75.09%,2.0,52.1,10.0,1.0,1.4,13.0,1.0,1.0,7.0,0.0,88.5,72003.0,0.0,10.2,0.0,0.6,0.0,0.0,0.0,6.0,0.0,1.0,17.8,203998.0,1358.0,FY14
85,8th,6340,Elementary School,85.84%,1.0,14.0,4.0,0.5,0.4,2.0,1.0,0.0,5.0,0.0,27.8,23855.0,0.0,2.8,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,7.8,56331.0,375.0,FY14
86,3rd,1390,Elementary School,62.01%,1.0,10.6,2.0,1.0,0.2,1.0,1.0,0.0,4.0,0.0,20.8,5686.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.8,68194.0,287.0,FY14
87,8th,4360,K‐8 School,88.51%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY14
88,1st,5060,High School,80.63%,2.0,35.0,6.0,1.4,1.0,0.0,1.0,0.0,6.0,0.0,52.4,22940.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,72060.0,754.0,FY14
89,4th,4280,Elementary School,68.17%,1.0,15.7,5.0,1.0,0.3,9.0,1.0,0.0,3.0,0.0,36.0,23073.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.8,67775.0,342.0,FY14
90,6th,5430,Middle School,75.06%,1.0,18.1,3.0,1.0,0.3,3.0,1.0,0.0,4.0,0.0,31.4,19256.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,44999.0,388.0,FY14
91,1st,2630,K‐8 School,76.75%,1.0,20.4,7.0,0.7,0.4,12.0,1.0,3.0,4.0,0.0,49.5,20138.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,87443.0,507.0,FY14
92,7th,7290,K‐8 School,84.89%,1.0,20.4,6.0,0.7,0.4,3.0,1.0,0.0,3.0,0.0,35.5,28304.0,0.0,3.8,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,9.8,166005.0,466.0,FY14
93,2nd,2260,K‐8 School,80.86%,1.0,27.7,7.0,2.2,1.0,9.0,2.0,0.0,5.0,0.0,54.9,24227.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,13.6,153284.0,650.0,FY14
94,1st,2380,K‐8 School,15.13%,1.0,22.9,2.0,0.5,0.4,2.0,1.0,0.0,4.0,0.0,33.8,20796.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.8,70584.0,530.0,FY14
95,9th,7370,Middle School,74.31%,1.0,26.8,9.0,1.4,0.6,6.0,1.0,0.0,5.0,0.0,50.8,28788.0,0.0,0.3,0.0,0.8,0.0,0.0,0.0,2.0,0.0,0.0,3.1,69589.0,591.0,FY14
96,10th,8230,Elementary School,64.49%,1.0,13.7,2.0,1.0,0.4,1.0,1.0,6.0,0.0,0.0,26.1,9131.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,61921.0,369.0,FY14
97,1st,5700,High School,83.01%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY14
98,7th,5350,K‐8 School,85.71%,1.0,21.7,6.0,1.2,0.4,11.0,1.0,0.0,7.0,0.0,49.3,30755.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.7,66384.0,465.0,FY14
99,9th,7120,High School,68.40%,2.0,51.9,15.0,2.6,1.2,3.0,2.0,0.0,7.0,0.5,85.2,25667.0,0.0,1.8,0.0,0.4,0.0,2.0,0.0,0.0,0.0,0.0,4.2,156305.0,1299.0,FY14
100,1st,2580,K‐8 School,75.45%,1.0,28.0,5.0,1.9,0.4,5.0,1.0,0.0,3.0,0.0,45.3,30870.0,0.0,2.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.4,81516.0,540.0,FY14
101,8th,7490,Elementary School,77.70%,1.0,19.5,6.0,0.5,1.0,7.0,1.0,0.0,3.0,0.0,39.0,90385.0,0.0,5.4,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,12.4,76610.0,536.0,FY14
102,8th,6220,Elementary School,81.47%,1.0,19.4,7.0,0.5,1.0,6.0,1.0,0.0,4.0,0.0,39.9,46267.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,13.0,99524.0,534.0,FY14
103,1st,5550,High School,82.81%,1.0,15.1,8.0,1.2,0.4,4.0,1.0,0.0,3.0,0.0,33.7,28632.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,165759.0,397.0,FY14
104,10th,8430,K‐8 School,26.69%,1.0,30.5,6.0,1.2,1.0,6.0,1.0,0.0,4.0,0.0,50.7,40303.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,106005.0,719.0,FY14
105,3rd,1050,High School,69.26%,1.0,14.0,2.0,1.0,0.3,0.0,1.0,0.0,1.0,0.0,20.3,23388.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,59235.0,265.0,FY14
106,9th,5610,High School,77.85%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY14
