,Council District,Organization Code,School Level,Economically Disadvantaged Rate,operating_fund: Principals/Assistant Principals,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Secretaries,operating_fund: Support Services Assistants,operating_fund: Student Climate Staff,operating_fund: Other,operating_fund: Total Positions,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Principals/Assistant Principals,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Secretaries,grant_fund: Support Services Assistants,grant_fund: Student Climate Staff,grant_fund: Other,grant_fund: Total Positions,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,enrollment,budget_year
145,1st,2670,High School,61.60%,1.0,15.3,1.0,1.0,0.3,1.0,1.0,0.0,1.0,0.0,21.6,50482.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,24541.0,369.0,FY14
146,4th,6030,High School,66.61%,1.0,29.5,16.0,1.0,1.0,19.0,1.0,0.0,3.0,0.0,71.5,88662.0,0.0,3.3,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,14.3,55160.0,618.0,FY14
147,6th,7330,Elementary School,78.65%,1.0,25.9,8.0,1.2,1.0,12.0,1.0,0.0,5.0,0.0,55.1,27779.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,14.2,142439.0,710.0,FY14
148,6th,8270,Elementary School,70.15%,1.0,20.8,7.0,1.0,0.6,12.0,1.0,2.0,3.0,0.0,48.4,30592.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,133424.0,524.0,FY14
149,5th,4440,K‐8 School,86.67%,1.0,25.7,3.0,3.0,1.0,1.0,1.0,0.0,5.0,0.0,40.7,240334.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,267580.0,620.0,FY14
150,3rd,1100,High School,79.77%,2.0,19.0,14.0,2.0,1.0,8.0,1.0,0.0,6.0,0.0,53.0,23852.0,0.0,4.2,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,15.2,256475.0,513.0,FY14
151,10th,8390,K‐8 School,53.69%,2.0,33.3,7.0,1.0,1.0,11.0,1.0,2.0,6.0,0.0,64.3,58669.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.5,98412.0,863.0,FY14
152,1st,2190,K‐8 School,77.35%,1.0,23.3,3.0,0.9,1.0,3.0,1.0,0.0,4.0,0.0,37.2,20945.0,0.0,4.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.8,43968.0,542.0,FY14
153,4th,6380,K‐8 School,48.16%,1.0,23.0,3.0,1.0,1.0,10.0,1.0,1.0,3.0,0.0,44.0,32370.0,0.0,1.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.8,99886.0,563.0,FY14
154,9th,7530,Elementary School,77.47%,1.0,19.9,3.0,0.5,0.4,1.0,1.0,0.0,6.0,0.0,32.8,56256.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,9.2,140059.0,538.0,FY14
155,8th,6260,K‐8 School,62.95%,1.0,18.5,8.0,1.0,1.0,7.0,1.0,0.0,4.0,0.0,41.5,14219.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,62042.0,379.0,FY14
156,3rd,1350,K‐8 School,83.21%,1.0,21.5,4.0,0.5,0.6,2.0,1.0,0.0,6.0,0.0,36.6,19850.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,168812.0,546.0,FY14
157,4th,4240,Elementary School,73.02%,1.0,22.0,3.0,1.0,1.0,6.0,1.0,1.0,5.0,0.0,41.0,22341.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.8,111966.0,581.0,FY14
158,10th,8020,High School,59.23%,5.0,120.5,23.0,2.8,2.2,5.0,3.0,0.0,14.0,0.0,175.5,74392.0,0.0,2.4,0.0,2.8,0.0,7.0,0.0,0.0,0.0,0.0,12.2,142350.0,3006.0,FY14
159,7th,8470,Middle Secondary,86.96%,1.0,13.4,5.0,1.0,0.7,0.0,1.0,3.0,2.0,2.0,29.1,211824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37607.0,0.0,FY14
160,5th,5200,K‐8 School,51.38%,1.0,16.8,3.0,1.0,0.3,1.0,1.0,0.0,2.0,0.0,26.1,34145.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,66857.0,383.0,FY14
161,2nd,1010,High School,73.48%,3.0,41.3,17.0,2.2,1.0,8.0,2.0,0.0,7.0,2.0,83.5,51918.0,0.0,7.8,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,15.8,51931.0,1066.0,FY14
162,2nd,1440,K‐8 School,69.54%,2.0,28.9,13.0,1.0,1.0,24.0,2.0,0.0,7.0,0.0,78.9,11198.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.4,256615.0,709.0,FY14
163,10th,8360,Elementary School,67.57%,1.0,23.8,3.0,1.2,0.5,3.0,1.0,0.0,4.0,0.0,37.5,20238.0,0.0,4.0,0.0,0.4,0.0,0.0,0.0,3.0,0.0,0.0,7.4,83479.0,609.0,FY14
164,4th,2680,Middle Secondary,44.47%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FY14
165,9th,7220,Elementary School,76.28%,2.0,41.6,10.0,1.8,1.6,6.0,1.0,5.0,5.0,0.0,74.0,59521.0,0.0,10.7,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,11.3,337359.0,1073.0,FY14
