,Council District,Organization Code,School Level,Economically Disadvantaged Rate,operating_fund: Principals/Assistant Principals,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Secretaries,operating_fund: Support Services Assistants,operating_fund: Student Climate Staff,operating_fund: Other,operating_fund: Total Positions,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Principals/Assistant Principals,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Secretaries,grant_fund: Support Services Assistants,grant_fund: Student Climate Staff,grant_fund: Other,grant_fund: Total Positions,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,projected_enrollment,budget_year
176,5th,4530,K‐8 School,88.73%,2.0,18.2,5.0,0.0,1.0,6.0,1.0,0.0,4.4,0.0,37.6,283773.0,0.0,4.2,0.0,2.0,0.0,0.0,0.0,1.0,0.6,0.0,7.8,17010.0,269.0,FY19
177,6th,8300,K‐8 School,64.70%,4.0,81.5,10.0,2.8,1.4,8.0,3.0,1.0,16.0,0.0,127.7,237214.0,2.0,8.0,0.0,3.2,0.0,0.0,0.0,5.0,0.0,0.0,18.2,23665.0,1902.0,FY19
178,3rd,1190,High School,70.50%,1.0,19.4,2.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,26.0,79593.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.4,4.4,8119.0,384.0,FY19
179,8th,7100,K‐8 School,80.28%,1.0,23.7,5.0,1.1,1.0,5.0,1.0,1.0,2.5,3.0,44.3,104118.0,1.0,2.0,0.0,1.1,0.0,0.0,0.0,0.0,3.5,0.0,7.6,195083.0,385.0,FY19
180,8th,6200,K‐8 School,71.86%,1.0,19.9,6.0,2.0,2.0,7.0,1.0,0.0,4.0,0.0,42.9,40526.0,1.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,8000.0,455.0,FY19
181,5th,2010,High School,76.79%,2.0,23.2,13.0,0.0,1.0,14.0,1.0,0.0,0.0,1.0,55.2,150493.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,13.0,57219.0,480.0,FY19
182,5th,4220,K‐8 School,86.30%,1.0,22.1,9.0,0.0,1.0,29.0,1.0,0.0,0.0,0.0,63.1,260713.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,1.0,18.0,18990.0,486.0,FY19
183,10th,8040,High School,35.38%,1.0,27.7,3.0,1.0,1.0,6.0,1.0,0.0,5.0,0.0,45.7,131533.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,74993.0,631.0,FY19
184,6th,8410,Elementary School,59.29%,1.2,26.5,11.0,2.1,1.0,16.0,1.0,0.0,0.0,0.0,58.8,73493.0,0.8,4.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,5.7,32447.0,619.0,FY19
185,7th,5490,Elementary School,86.49%,1.0,22.7,5.0,1.2,1.0,4.0,1.0,0.4,6.0,0.2,42.5,58688.0,0.0,8.6,0.0,1.2,0.0,0.0,0.0,0.6,0.0,1.0,11.4,28167.0,475.0,FY19
186,8th,6400,K‐12 School,72.41%,1.0,3.9,25.0,2.0,12.0,23.0,1.0,0.0,2.0,1.0,70.9,47742.0,0.0,1.6,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.6,3721.0,136.0,FY19
187,2nd,2240,K‐8 School,78.87%,1.0,18.3,9.0,0.7,1.0,9.0,1.0,0.0,4.0,0.0,44.0,66465.0,0.0,3.0,0.0,1.3,0.0,0.0,0.0,2.0,0.0,1.0,7.3,17136.0,326.0,FY19
188,8th,6050,High School,58.79%,2.0,37.0,1.0,2.1,1.2,1.0,1.0,0.0,2.0,0.0,47.4,58875.0,0.0,3.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.3,7116.0,832.0,FY19
189,9th,7350,Elementary School,78.34%,1.5,27.2,5.0,1.4,1.0,10.0,2.0,7.0,4.8,0.0,59.8,60443.0,0.5,9.2,0.0,0.2,0.0,0.0,0.0,0.0,7.3,1.0,18.2,28054.0,716.0,FY19
190,6th,8210,Elementary School,71.04%,1.0,24.8,5.0,2.1,1.0,9.0,1.0,0.0,1.0,0.0,44.9,80178.0,0.0,4.0,0.0,0.1,0.0,0.0,0.0,6.0,4.0,0.0,14.1,20561.0,573.0,FY19
191,7th,5370,Elementary School,78.55%,1.0,15.0,3.0,0.2,1.0,2.0,1.0,0.0,5.0,0.0,28.2,60528.0,0.0,3.5,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,4.6,5815.0,301.0,FY19
192,8th,6360,K‐8 School,81.45%,1.0,25.7,10.0,3.0,1.0,15.0,1.0,0.0,4.0,1.0,61.7,26638.0,2.0,6.4,0.0,3.0,0.0,0.0,0.0,10.0,0.0,1.0,22.4,600289.0,503.0,FY19
193,1st,2520,Elementary School,70.07%,1.0,12.8,2.0,1.0,1.0,4.0,1.0,0.0,3.0,0.0,25.8,117053.0,0.0,3.0,0.0,0.6,0.0,0.0,0.0,3.0,1.0,0.0,7.6,31137.0,291.0,FY19
194,6th,7430,Elementary School,86.25%,2.0,27.9,7.0,0.7,1.0,7.0,1.0,0.0,0.0,0.0,46.6,185048.0,0.0,10.2,0.0,1.7,0.0,0.0,0.0,0.0,7.0,0.0,18.9,36944.0,735.0,FY19
195,9th,8120,Middle School,67.71%,2.0,69.7,9.0,5.4,1.4,10.0,2.0,0.0,7.4,0.0,106.9,91384.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.6,2.0,11.6,18068.0,1380.0,FY19
196,2nd,1250,Elementary School,81.35%,2.0,20.3,6.0,0.5,1.0,3.0,1.0,0.0,1.0,0.0,34.8,107168.0,0.0,4.6,0.0,0.7,0.0,0.0,0.0,3.0,5.0,0.0,13.3,100836.0,487.0,FY19
197,7th,5410,Elementary School,88.33%,1.0,9.3,1.0,2.2,1.0,0.0,1.0,0.2,0.0,0.0,15.8,55346.0,0.0,5.4,0.0,0.2,0.0,0.0,0.0,1.8,3.0,0.0,10.4,5055.0,161.0,FY19
198,1st,2690,K‐8 School,75.63%,1.0,23.7,4.0,1.8,1.0,5.0,1.0,0.0,6.0,0.0,43.5,47013.0,0.0,5.0,0.0,0.6,0.0,0.0,0.0,6.0,0.0,0.0,11.6,73132.0,454.0,FY19
199,4th,6480,Middle School,61.51%,1.0,16.4,2.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,26.4,65328.0,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,7134.0,321.0,FY19
200,2nd,2320,Elementary School,82.66%,1.0,20.1,2.0,0.8,1.0,1.0,1.0,5.0,3.0,1.0,35.9,71978.0,0.0,6.6,0.0,0.8,0.0,0.0,0.0,4.0,4.0,0.0,15.4,85762.0,501.0,FY19
201,1st,5210,K‐8 School,79.49%,1.0,22.2,10.0,1.5,1.0,14.0,1.0,0.0,5.0,0.0,55.7,53228.0,0.0,8.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,8.5,64527.0,471.0,FY19
202,10th,8370,Elementary School,42.74%,1.0,20.4,6.0,1.2,1.0,10.0,1.0,0.0,0.0,0.0,40.6,111298.0,0.0,3.0,0.0,0.2,0.0,0.0,0.0,4.0,3.0,0.0,10.2,25172.0,489.0,FY19
203,8th,5500,K‐8 School,80.68%,2.0,33.8,15.0,1.2,3.1,26.0,1.0,0.0,1.0,1.0,84.1,96713.0,0.0,7.2,0.0,2.3,0.0,0.0,0.0,6.0,8.0,0.8,24.4,100378.0,806.0,FY19
204,3rd,1340,K‐8 School,73.08%,1.0,26.9,8.0,3.9,2.0,23.0,1.0,0.0,0.0,0.0,65.8,55978.0,0.0,5.6,0.0,1.2,0.0,0.0,0.0,3.0,0.0,1.5,11.3,9465.0,579.0,FY19
205,5th,5150,High School,61.74%,1.0,26.7,1.0,1.1,1.0,1.0,1.0,1.0,0.0,0.0,33.8,146493.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,4.0,0.0,6.1,19592.0,549.0,FY19
206,10th,8030,High School,52.46%,2.0,60.1,21.0,5.0,1.3,27.0,2.0,2.0,0.0,0.4,120.8,343874.0,2.0,2.9,0.0,1.6,0.0,0.0,0.0,2.0,4.0,2.0,14.5,29891.0,1276.0,FY19
207,3rd,8460,High School,85.44%,1.0,10.4,2.0,1.0,0.5,0.0,1.0,2.0,0.0,2.0,19.9,258548.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.6,2861.0,89.0,FY19
208,8th,6390,K‐8 School,85.09%,1.0,28.0,5.0,3.0,1.0,10.0,1.0,6.0,2.3,0.0,57.2,78403.0,1.0,3.3,0.0,1.0,0.0,0.0,0.0,0.0,3.7,1.0,10.0,223328.0,490.0,FY19
209,8th,6270,K‐8 School,39.44%,1.0,24.2,5.0,1.0,1.0,3.0,1.0,1.0,5.0,0.0,42.2,49173.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,10.4,9195.0,535.0,FY19
210,10th,8260,Elementary School,50.60%,1.0,20.6,8.0,0.2,1.0,25.0,1.0,0.0,4.0,0.0,60.8,34185.0,0.0,4.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5657.0,487.0,FY19
211,1st,5300,Elementary School,72.43%,1.0,15.0,9.0,0.0,2.0,13.0,1.0,0.0,2.0,0.0,43.0,76673.0,0.0,4.4,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.4,56408.0,359.0,FY19
212,10th,8380,K‐8 School,65.08%,1.0,50.4,11.0,2.7,2.1,12.0,2.0,3.0,2.0,0.0,86.2,325049.0,0.0,5.0,0.0,2.1,0.0,0.0,0.0,7.0,10.0,0.0,24.1,33466.0,1159.0,FY19
213,8th,6470,Elementary School,85.17%,1.0,26.9,7.0,0.0,2.0,19.0,1.0,6.0,7.9,0.0,70.8,255233.0,1.0,8.4,0.0,1.0,0.0,0.0,0.0,7.0,1.1,0.0,18.5,12704.0,708.0,FY19
214,9th,7320,Elementary School,81.93%,1.0,11.0,4.0,1.0,1.0,8.0,1.0,0.0,3.0,0.0,30.0,39888.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,10.2,22790.0,235.0,FY19
