,Council District,Organization Code,School Level,Economically Disadvantaged Rate,operating_fund: Principals/Assistant Principals,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Secretaries,operating_fund: Support Services Assistants,operating_fund: Student Climate Staff,operating_fund: Other,operating_fund: Total Positions,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Principals/Assistant Principals,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Secretaries,grant_fund: Support Services Assistants,grant_fund: Student Climate Staff,grant_fund: Other,grant_fund: Total Positions,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,projected_enrollment,budget_year
103,1st,5550,High School,82.81%,1.9,21.6,6.0,1.4,1.0,5.0,1.0,0.0,0.0,0.0,37.9,262620.0,0.2,0.0,0.0,3.6,0.0,0.0,0.0,0.0,2.0,1.0,6.7,8664.0,442.0,FY19
104,10th,8430,K‐8 School,26.69%,2.0,35.6,10.0,1.1,1.0,17.0,2.0,0.0,7.0,0.0,75.7,81703.0,0.0,4.0,0.0,0.1,0.0,0.0,0.0,3.0,0.0,0.0,7.1,78789.0,822.0,FY19
105,3rd,1050,High School,69.26%,1.0,14.1,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,21.1,17198.0,0.0,1.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,13670.0,269.0,FY19
106,9th,5610,High School,77.85%,2.0,17.2,2.0,0.3,1.0,0.0,1.0,0.0,0.0,0.0,23.5,53595.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,2.0,1.0,3.7,4067.0,360.0,FY19
107,2nd,1400,Elementary School,80.91%,1.0,20.7,3.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,31.7,87353.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,15.2,30987.0,526.0,FY19
108,10th,8770,K‐8 School,49.06%,2.0,34.7,18.0,13.0,2.6,28.0,2.0,0.0,6.0,0.0,106.3,147384.0,1.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,82775.0,766.0,FY19
109,5th,4140,High School,81.82%,2.0,13.2,9.0,4.0,1.0,13.0,1.0,0.0,4.0,0.4,47.6,134118.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6,5.6,119956.0,300.0,FY19
110,5th,2290,High School,61.38%,2.0,50.6,2.0,0.4,1.0,2.0,1.0,0.0,0.0,0.0,58.9,220650.0,0.0,0.3,0.0,2.2,0.0,0.0,0.0,0.0,9.0,0.0,11.6,7927.0,881.0,FY19
111,9th,7260,Elementary School,71.78%,1.0,12.2,4.0,2.0,1.0,2.1,1.0,0.0,0.0,0.0,23.3,46977.0,0.0,3.2,0.0,0.0,0.0,0.9,0.0,0.0,4.0,0.0,8.1,35734.0,264.0,FY19
112,7th,7380,Elementary School,85.53%,2.0,28.2,3.0,1.4,1.0,2.0,1.0,0.0,6.0,0.0,44.6,87438.0,0.0,8.0,0.0,0.2,0.0,0.0,0.0,8.0,3.0,0.0,19.2,220781.0,621.0,FY19
113,2nd,2370,K‐8 School,86.23%,3.0,19.7,4.0,1.0,2.0,5.0,2.0,0.0,1.0,1.0,38.7,161208.0,0.0,5.8,0.0,2.0,0.0,0.0,0.0,3.0,7.0,0.0,17.8,35159.0,347.0,FY19
114,1st,2720,K‐8 School,72.92%,1.0,22.8,7.0,1.2,1.0,13.0,1.0,2.0,4.0,0.0,53.0,58433.0,0.0,2.8,0.0,1.2,0.0,0.0,0.0,3.0,0.0,0.0,7.0,7048.0,383.0,FY19
115,10th,8090,High School,54.97%,1.0,36.3,9.0,0.3,1.0,6.0,1.0,0.0,6.0,0.0,60.6,152103.0,1.0,5.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,7.9,15418.0,706.0,FY19
116,4th,1200,K‐8 School,87.27%,1.0,26.3,7.0,3.0,1.0,10.0,2.0,0.0,2.0,1.7,54.0,68393.0,1.0,7.8,0.0,1.0,0.0,0.0,0.0,6.0,4.0,0.3,20.1,280112.0,601.0,FY19
117,7th,5440,Elementary School,88.57%,1.0,28.8,6.0,2.2,1.0,12.0,1.0,0.0,5.6,0.0,57.6,51818.0,0.0,11.0,0.0,2.2,0.0,0.0,0.0,0.0,1.4,0.0,14.6,13697.0,717.0,FY19
118,5th,2490,K‐8 School,84.12%,1.0,12.2,5.0,0.0,1.0,6.0,1.0,1.0,3.0,0.7,30.9,122243.0,0.0,4.2,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.4,10.6,8684.0,275.0,FY19
119,7th,7460,K‐8 School,75.22%,1.0,24.8,8.0,1.2,1.0,11.0,1.0,0.0,4.0,0.0,52.0,79873.0,0.0,3.4,0.0,2.2,0.0,0.0,0.0,4.0,2.0,0.0,11.6,28793.0,554.0,FY19
120,6th,8200,K‐8 School,78.27%,1.0,45.0,7.0,2.7,1.2,7.0,2.0,1.0,8.0,0.0,74.9,179618.0,2.0,5.7,0.0,0.5,0.0,0.0,0.0,5.0,0.0,1.0,14.2,50941.0,989.0,FY19
121,5th,4060,High School,82.88%,2.0,37.8,5.0,1.0,1.0,2.0,1.0,0.0,5.0,1.1,55.9,52948.0,1.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,8.3,103211.0,751.0,FY19
122,4th,6410,K‐8 School,48.20%,1.0,20.4,7.0,1.0,1.0,12.0,1.0,0.0,4.0,0.0,47.4,79613.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,12382.0,470.0,FY19
123,4th,6040,High School,57.14%,1.0,25.3,3.0,2.0,1.0,3.0,1.0,0.0,0.0,3.0,39.3,107425.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,6.7,2982.0,498.0,FY19
124,7th,7360,Elementary School,84.69%,1.0,21.2,7.0,4.2,2.0,16.0,1.0,0.0,0.0,0.0,52.4,69043.0,1.0,2.0,0.0,0.8,0.0,0.0,0.0,0.0,5.0,0.0,8.8,189433.0,352.0,FY19
125,5th,5560,K‐8 School,84.09%,1.0,14.1,1.0,0.1,1.0,0.0,1.0,0.0,1.0,0.2,19.4,137003.0,0.0,2.1,0.0,1.1,0.0,0.0,0.0,1.0,3.0,0.0,7.2,20658.0,248.0,FY19
126,10th,8400,Elementary School,53.67%,3.0,56.4,4.0,2.3,1.4,3.0,2.0,2.0,6.0,0.0,80.1,164034.0,0.0,11.0,0.0,0.9,0.0,0.0,0.0,0.0,7.0,0.0,18.9,18582.0,1355.0,FY19
127,5th,5480,K‐8 School,82.40%,1.0,15.8,5.0,1.0,1.0,10.0,1.0,0.0,1.4,0.0,36.2,71913.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.6,1.0,8.6,5194.0,289.0,FY19
128,7th,7110,Middle School,80.96%,3.0,39.2,15.0,3.1,1.0,19.0,1.0,0.0,6.0,0.0,87.3,138403.0,0.0,3.0,0.0,2.1,0.0,0.0,0.0,0.0,5.0,1.0,11.1,95107.0,788.0,FY19
129,2nd,2450,K‐8 School,78.76%,1.0,11.9,3.0,0.4,2.0,5.0,1.0,0.0,3.0,0.0,27.3,46813.0,0.0,4.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,5.2,5113.0,254.0,FY19
130,9th,6210,K‐8 School,63.97%,1.0,27.4,8.0,1.0,1.0,8.0,1.0,1.0,2.0,0.0,50.4,49753.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,11.0,7941.0,658.0,FY19
131,1st,2000,High School,70.72%,1.0,31.7,16.0,2.1,1.0,20.0,1.0,0.0,0.0,0.2,73.0,38298.0,1.0,4.8,0.0,2.1,0.0,0.0,0.0,0.0,2.0,1.6,11.5,1822.0,563.0,FY19
132,1st,2340,K‐8 School,44.20%,1.0,36.4,4.0,1.8,1.0,9.0,1.0,0.0,0.0,0.2,54.4,132853.0,0.0,4.0,0.0,0.6,0.0,0.0,0.0,0.0,6.0,0.0,10.6,9006.0,749.0,FY19
133,5th,5620,High School,75.46%,2.0,13.8,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,20.3,18120.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.2,3283.0,293.0,FY19
134,9th,8310,Elementary School,67.48%,2.0,49.2,9.0,2.1,1.2,9.0,2.0,2.0,0.0,0.0,76.5,295634.0,0.0,9.2,0.0,1.7,0.0,0.0,0.0,0.0,12.0,0.0,22.9,110242.0,1191.0,FY19
135,7th,5390,K‐8 School,86.13%,1.0,28.2,4.0,3.2,1.0,1.0,1.0,0.0,6.0,0.0,45.4,82543.0,1.0,7.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,8.7,243546.0,524.0,FY19
136,8th,6300,Elementary School,81.82%,1.0,14.6,5.0,1.0,1.0,9.0,1.0,1.0,3.0,0.0,36.6,69713.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.2,25274.0,346.0,FY19
137,1st,2540,Elementary School,81.55%,1.0,24.8,2.0,1.7,1.0,1.0,1.0,0.0,1.0,0.0,33.5,120303.0,0.0,5.4,0.0,0.5,0.0,0.0,0.0,2.0,3.0,1.0,11.9,31361.0,452.0,FY19
138,1st,5590,Elementary School,86.31%,2.0,32.0,8.0,2.4,1.0,16.0,1.0,0.0,0.0,0.2,62.5,96278.0,0.0,12.7,0.0,0.2,0.0,0.0,0.0,4.0,8.0,1.0,25.9,14933.0,795.0,FY19
139,4th,4320,K‐8 School,68.75%,1.0,29.0,11.0,0.4,1.0,18.0,1.0,0.0,2.0,1.0,64.4,28168.0,1.0,3.2,0.0,0.6,0.0,0.0,0.0,0.0,4.0,0.0,8.8,8785.0,623.0,FY19
140,6th,8140,Middle School,67.68%,1.0,29.9,8.0,1.0,1.0,3.0,1.0,0.0,7.0,0.0,51.9,47353.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28661.0,614.0,FY19
141,3rd,1230,K‐8 School,83.17%,1.0,21.1,2.0,4.0,1.0,3.0,1.0,0.0,4.0,1.0,38.1,112008.0,1.0,6.2,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,12.2,159644.0,421.0,FY19
142,7th,5020,High School,80.49%,2.9,57.3,23.0,5.2,1.6,20.0,2.0,2.0,0.0,1.2,115.3,207850.0,1.1,7.0,0.0,1.2,0.0,0.0,0.0,0.0,8.0,0.0,17.2,479192.0,1055.0,FY19
143,7th,5470,Elementary School,86.25%,2.0,21.6,5.0,0.5,1.0,5.0,1.0,0.0,0.0,0.0,36.1,138278.0,0.0,4.6,0.0,1.3,0.0,0.0,0.0,5.0,5.0,1.0,16.9,42492.0,469.0,FY19
144,9th,6460,Middle Secondary,52.80%,2.0,33.8,20.0,0.5,1.2,30.0,1.0,0.0,0.0,0.0,88.5,159906.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,3.0,0.0,4.5,4358.0,679.0,FY19
145,1st,2670,High School,61.60%,1.0,17.0,2.0,0.9,1.0,4.0,1.0,0.0,1.0,0.0,27.9,90953.0,0.0,1.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.5,32334.0,396.0,FY19
