,Council District,Organization Code,School Level,Economically Disadvantaged Rate,operating_fund: Principals/Assistant Principals,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Secretaries,operating_fund: Support Services Assistants,operating_fund: Student Climate Staff,operating_fund: Other,operating_fund: Total Positions,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Principals/Assistant Principals,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Secretaries,grant_fund: Support Services Assistants,grant_fund: Student Climate Staff,grant_fund: Other,grant_fund: Total Positions,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,enrollment,budget_year
0,2nd,1380,Elementary School,83.44%,1.0,25.0,2.8,0.8,1.0,8.0,1.0,2.0,1.0,1.2,43.8,100159.0,0.0,8.6,0.2,0.2,0.0,0.0,0.0,5.0,7.0,0.0,21.0,19977.0,640.0,FY18
1,4th,4370,Elementary School,79.34%,1.0,13.9,0.8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19.7,74924.0,0.0,2.8,1.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,21444.0,242.0,FY18
2,8th,5070,High School,54.18%,1.0,11.4,1.8,1.0,1.0,0.0,1.0,0.0,0.0,0.0,17.2,79458.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.4,3740.0,261.0,FY18
3,3rd,1260,K‐8 School,84.48%,1.0,21.1,3.8,0.5,1.0,7.0,1.0,1.0,1.4,0.0,37.8,113276.0,0.0,5.0,0.2,1.6,0.0,1.0,0.0,1.0,4.6,1.0,14.4,4997.0,516.0,FY18
4,7th,5420,K‐8 School,86.01%,1.0,20.8,3.8,1.4,1.0,2.0,1.0,0.4,0.0,0.0,31.3,80079.0,0.0,3.0,0.2,1.2,0.0,0.0,0.0,1.7,5.0,1.0,12.1,71373.0,382.0,FY18
5,5th,2140,Middle Secondary,19.97%,2.0,54.5,0.8,3.0,1.2,2.0,2.0,0.0,0.8,0.8,67.0,39408.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,4.2,0.0,5.1,63315.0,1198.0,FY18
6,9th,6350,K‐8 School,73.92%,1.0,17.0,4.8,0.6,1.0,13.0,1.0,0.0,0.0,0.0,38.4,139150.0,0.0,4.2,1.2,1.4,0.0,0.0,0.0,3.0,2.0,1.0,12.8,23207.0,379.0,FY18
7,1st,2510,K‐8 School,61.82%,1.0,25.2,2.8,1.7,1.0,3.0,1.0,0.0,4.0,1.0,40.7,66739.0,0.0,6.2,0.2,0.5,0.0,0.0,0.0,3.0,0.0,0.0,9.9,31404.0,580.0,FY18
8,9th,7400,K‐8 School,73.64%,2.0,37.0,7.8,0.9,1.0,8.0,1.0,0.0,6.4,0.0,64.1,189599.0,0.0,9.2,0.2,1.9,0.0,0.0,0.0,0.0,5.6,0.0,17.0,57670.0,884.0,FY18
9,4th,1030,High School,69.79%,1.0,21.3,9.8,0.6,1.0,18.0,1.0,0.0,2.0,0.0,54.6,101859.0,0.0,1.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.9,9391.0,487.0,FY18
10,3rd,1460,K‐8 School,81.08%,1.0,20.0,3.8,0.3,1.0,3.0,1.0,2.0,6.0,0.0,38.1,56562.0,0.0,6.2,0.2,0.7,0.0,0.0,0.0,3.0,1.0,1.0,12.1,18963.0,479.0,FY18
11,3rd,1580,Middle School,74.72%,1.0,14.1,2.8,0.5,0.5,6.0,1.0,0.0,2.0,0.0,27.9,44913.0,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,5248.0,275.0,FY18
12,5th,4570,K‐8 School,89.54%,1.0,17.0,5.8,2.5,1.0,8.0,1.0,0.7,0.0,0.0,37.0,83739.0,0.0,6.4,1.2,0.5,0.0,0.0,0.0,5.3,5.0,0.0,18.5,51520.0,379.0,FY18
13,6th,8340,Elementary School,75.02%,2.0,51.4,9.0,2.6,1.4,10.0,2.0,0.0,8.0,0.0,86.4,95740.0,1.0,10.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,13.4,36909.0,1203.0,FY18
14,7th,7200,Elementary School,81.37%,1.0,24.9,3.8,1.4,2.0,5.0,2.0,1.0,7.0,0.0,48.0,51489.0,0.0,13.0,0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,14.5,3820.0,717.0,FY18
15,5th,7510,K‐8 School,87.07%,1.4,30.2,1.8,1.1,1.0,2.0,1.0,0.0,0.0,0.0,38.5,279304.0,0.6,9.8,0.2,0.1,0.0,0.0,0.0,0.0,5.0,0.0,15.7,42495.0,728.0,FY18
16,3rd,2050,Middle School,46.89%,1.0,8.2,1.8,1.0,1.0,1.0,1.0,0.0,2.0,0.0,17.0,33248.0,0.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.2,1563.0,176.0,FY18
17,7th,5530,Elementary School,87.96%,1.0,29.4,5.8,0.8,1.0,11.0,1.0,0.0,0.4,0.7,51.1,68029.0,0.0,10.7,0.2,2.2,0.0,0.0,0.0,3.0,6.6,0.5,23.2,59082.0,699.0,FY18
18,5th,5160,Middle Secondary,79.44%,2.0,27.5,12.8,1.2,1.0,10.0,1.0,0.0,0.0,0.0,55.5,66238.0,1.0,3.5,0.2,1.0,0.0,0.0,0.0,0.0,2.0,2.0,9.7,8774.0,539.0,FY18
19,8th,4380,Elementary School,85.69%,1.0,20.0,2.8,0.0,1.0,4.0,1.0,0.0,5.0,0.0,34.8,128127.0,0.0,7.1,0.2,1.0,0.0,0.0,0.0,3.0,1.0,0.0,12.3,18815.0,489.0,FY18
20,3rd,1370,K‐8 School,83.60%,1.0,27.9,2.8,2.0,1.0,4.0,1.0,0.0,0.0,0.9,40.6,245300.0,1.0,6.2,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.1,8.6,273901.0,528.0,FY18
21,3rd,1290,K‐8 School,85.16%,1.0,22.5,6.8,1.0,1.0,13.0,1.0,0.0,0.0,0.0,46.3,79434.0,1.0,3.8,0.2,0.0,0.0,0.0,0.0,4.0,3.0,0.0,12.0,122170.0,528.0,FY18
22,5th,5080,High School,59.57%,1.0,21.7,0.8,1.0,1.0,1.0,1.0,0.0,2.0,0.0,29.5,467538.0,0.0,0.4,0.2,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.6,6688.0,479.0,FY18
23,5th,2650,High School,32.05%,1.0,24.4,2.8,2.5,1.0,6.0,1.0,0.0,0.0,0.0,38.6,13273.0,0.0,0.5,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.3,14754.0,500.0,FY18
24,8th,6440,K‐8 School,64.13%,1.0,21.3,2.8,1.0,2.0,6.0,1.0,0.0,4.0,0.0,39.1,44289.0,0.0,4.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.2,9526.0,412.0,FY18
25,8th,6010,High School,41.79%,4.0,99.5,0.8,5.2,2.0,2.0,2.0,0.0,2.0,0.0,117.5,161249.0,0.0,3.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.9,12857.0,2379.0,FY18
26,7th,7310,Elementary School,80.32%,2.0,34.7,4.8,1.7,1.0,11.0,1.0,0.0,8.0,0.0,64.2,62394.0,0.0,4.0,0.2,1.5,0.0,0.0,0.0,5.0,0.0,1.0,11.7,95750.0,755.0,FY18
27,5th,4030,Middle Secondary,42.81%,1.0,42.6,1.8,1.5,1.0,2.0,1.0,0.0,3.0,0.4,54.3,205013.0,0.0,0.0,0.2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.7,4449.0,889.0,FY18
