,Council District,Organization Code,School Level,Economically Disadvantaged Rate,operating_fund: Principals/Assistant Principals,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Secretaries,operating_fund: Support Services Assistants,operating_fund: Student Climate Staff,operating_fund: Other,operating_fund: Total Positions,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Principals/Assistant Principals,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Secretaries,grant_fund: Support Services Assistants,grant_fund: Student Climate Staff,grant_fund: Other,grant_fund: Total Positions,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,enrollment,budget_year
28,6th,8250,Elementary School,74.75%,3.0,44.8,7.8,3.1,1.2,6.0,2.0,0.0,3.0,0.0,70.9,58540.0,0.0,7.2,0.2,0.1,0.0,0.0,0.0,7.0,5.0,1.0,20.5,74666.0,1229.0,FY18
29,3rd,1490,K‐8 School,84.11%,1.0,24.6,2.8,3.0,1.0,4.0,1.0,1.8,0.0,1.0,40.1,145689.0,1.0,2.6,0.2,0.0,0.0,0.0,0.0,3.2,5.0,0.0,12.1,229246.0,450.0,FY18
30,7th,5680,K‐8 School,86.46%,2.0,32.2,6.8,2.0,1.0,13.0,1.0,1.0,0.2,1.0,60.2,47514.0,1.0,4.9,0.2,2.0,0.0,0.0,0.0,2.0,2.8,0.0,12.9,307934.0,612.0,FY18
31,5th,4460,K‐8 School,87.35%,1.2,26.1,3.8,1.0,1.0,0.0,1.0,1.0,1.0,0.0,36.1,109784.0,0.8,5.9,0.2,2.0,0.0,0.0,0.0,1.0,3.0,1.0,13.9,191371.0,691.0,FY18
32,7th,5330,K‐8 School,84.13%,1.0,23.5,6.8,1.4,2.0,17.0,1.0,2.0,4.7,0.0,59.4,62119.0,0.0,5.4,0.2,1.2,0.0,0.0,0.0,2.0,1.3,0.9,11.1,56736.0,552.0,FY18
33,4th,6320,K‐8 School,71.70%,1.0,16.3,2.8,1.0,1.0,4.0,1.0,0.0,2.0,0.0,29.1,59647.0,0.0,2.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3079.0,318.0,FY18
34,2nd,2480,K‐8 School,60.69%,1.0,12.5,5.8,1.0,2.0,8.0,1.0,0.0,2.0,0.0,33.2,22889.0,0.0,3.8,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,17769.0,261.0,FY18
35,6th,7470,K‐8 School,61.93%,2.0,34.7,9.0,0.6,1.1,7.0,2.0,0.0,1.0,0.0,57.4,81142.0,0.0,4.0,0.0,0.4,0.0,0.0,0.0,0.0,6.0,0.0,10.4,54039.0,817.0,FY18
36,10th,8160,Middle School,49.90%,4.0,70.5,16.8,1.1,1.4,33.0,2.0,0.0,8.0,0.0,136.8,268934.0,0.0,0.5,1.2,2.7,0.0,0.0,0.0,1.0,0.0,0.0,5.5,18067.0,1440.0,FY18
37,3rd,4300,K‐8 School,85.74%,1.0,30.3,5.8,3.0,2.0,9.0,1.0,1.0,7.0,0.0,60.1,67339.0,1.0,2.0,0.2,0.0,0.0,0.0,0.0,3.0,0.0,1.0,7.2,238307.0,544.0,FY18
38,9th,7270,K‐8 School,72.94%,1.0,33.0,3.8,1.2,1.0,6.0,1.0,8.0,0.0,0.0,55.0,131381.0,0.0,7.4,1.2,0.2,0.0,0.0,0.0,2.0,6.0,1.0,17.8,87828.0,746.0,FY18
39,4th,6090,High School,71.67%,1.0,25.6,2.8,1.0,1.0,0.0,0.0,0.0,2.2,1.0,34.6,93287.0,0.0,3.6,0.2,0.0,0.0,0.0,0.0,0.0,1.8,0.0,5.6,120495.0,491.0,FY18
40,8th,7390,K‐8 School,83.10%,2.0,29.9,5.8,2.4,1.0,8.0,1.0,1.0,0.5,0.0,51.5,72844.0,0.0,7.0,0.2,0.2,0.0,0.0,0.0,3.0,8.5,0.0,19.0,10416.0,699.0,FY18
41,5th,5250,K‐8 School,82.80%,1.0,16.1,3.8,2.0,1.0,9.0,1.0,0.0,2.0,1.0,36.9,46954.0,1.0,5.2,0.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.4,175922.0,279.0,FY18
42,3rd,1410,K‐8 School,86.92%,1.0,25.4,3.8,0.4,1.0,4.0,1.0,0.0,0.0,0.0,36.6,80794.0,1.0,4.0,0.2,0.6,0.0,0.0,0.0,3.0,7.0,1.0,16.8,55944.0,555.0,FY18
43,3rd,1300,K‐8 School,81.20%,1.0,20.0,6.8,0.4,1.0,10.0,1.0,4.0,4.0,0.2,48.4,161756.0,0.0,4.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.8,5.6,7175.0,497.0,FY18
44,10th,8420,K‐8 School,46.87%,2.0,41.2,10.8,2.0,1.4,30.0,1.0,1.0,4.0,0.0,93.4,80159.0,0.0,5.2,1.2,1.0,0.0,0.0,0.0,4.0,5.0,0.0,16.4,21523.0,1040.0,FY18
45,8th,7130,Middle School,75.35%,1.0,23.5,4.8,0.2,1.0,11.0,1.0,0.0,5.0,0.0,47.5,127988.0,0.0,3.0,0.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21119.0,521.0,FY18
46,1st,2590,K‐8 School,65.14%,1.0,17.4,7.8,1.2,1.0,20.0,1.0,0.0,4.0,0.0,53.4,63604.0,0.0,5.0,1.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,6.4,42907.0,374.0,FY18
47,2nd,2470,K‐8 School,17.07%,1.0,26.4,4.8,1.0,1.0,17.0,1.0,2.4,4.0,0.0,58.6,48959.0,0.0,5.2,0.2,0.0,0.0,0.0,0.0,2.6,0.0,0.0,8.0,32520.0,623.0,FY18
48,2nd,2020,High School,40.49%,1.0,32.1,3.8,1.0,1.0,6.0,2.0,0.0,4.0,0.0,50.9,157478.0,0.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,74009.0,707.0,FY18
49,8th,6230,K‐8 School,72.15%,1.0,11.6,0.8,1.0,1.0,9.0,1.0,1.0,1.2,0.0,27.6,26649.0,0.0,2.8,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,3.8,9074.0,240.0,FY18
50,5th,5340,K‐8 School,80.76%,1.0,16.2,7.8,0.4,2.0,11.0,1.0,1.0,0.0,0.0,40.4,144139.0,0.0,3.2,0.2,0.6,0.0,1.0,0.0,4.0,4.0,0.0,13.0,31673.0,320.0,FY18
51,2nd,2620,High School,55.90%,1.0,40.1,1.8,1.2,1.0,6.0,1.0,0.0,4.0,0.9,57.0,173485.0,0.0,0.5,0.2,1.0,0.0,0.0,0.0,2.0,0.0,0.4,4.0,4854.0,921.0,FY18
52,9th,7280,K‐8 School,75.99%,2.0,40.9,5.8,2.4,1.2,5.0,1.0,2.0,4.3,0.0,64.5,131719.0,0.0,6.2,0.2,1.2,0.0,0.0,0.0,14.0,7.8,1.0,30.4,117435.0,993.0,FY18
53,8th,6060,High School,73.69%,3.0,29.0,16.8,3.3,1.1,20.0,1.0,0.0,3.0,1.0,78.2,131907.0,1.0,4.6,0.2,2.7,0.0,0.0,0.0,0.0,2.0,1.0,11.5,316556.0,682.0,FY18
54,5th,2390,K‐8 School,85.62%,1.0,16.0,2.8,0.0,1.0,6.0,1.0,3.2,3.0,0.0,34.0,94859.0,0.0,1.2,0.2,1.0,0.0,0.0,0.0,2.8,0.0,0.0,5.2,8460.0,302.0,FY18
55,7th,7730,Middle School,87.75%,1.0,22.5,5.8,3.5,0.5,5.0,2.0,0.0,2.0,0.2,42.5,126845.0,1.0,2.6,0.2,2.3,0.0,0.0,0.0,2.0,2.0,0.0,10.2,185928.0,444.0,FY18
56,4th,4020,High School,73.53%,2.0,24.2,8.8,0.0,1.0,7.0,1.0,1.0,2.0,0.0,47.0,76902.0,0.0,5.0,0.2,1.0,0.0,0.0,0.0,0.0,3.0,2.0,11.2,33952.0,581.0,FY18
57,6th,8240,K‐8 School,75.58%,2.0,37.2,3.8,1.1,1.0,2.0,1.0,4.0,0.0,1.0,53.1,32864.0,0.0,5.0,0.2,0.1,0.0,0.0,0.0,1.0,4.0,0.0,10.3,106942.0,904.0,FY18
58,5th,4470,Elementary School,86.68%,1.0,14.5,6.8,0.1,2.0,16.0,1.0,2.5,0.0,0.0,43.9,168329.0,0.0,4.1,1.2,1.9,0.0,0.0,0.0,1.6,3.0,1.0,12.8,35429.0,353.0,FY18
59,2nd,1130,Middle School,78.27%,1.0,19.3,5.8,0.0,1.0,5.0,1.0,3.0,1.0,0.2,37.3,90888.0,0.0,1.4,0.2,1.0,0.0,0.0,0.0,3.0,1.0,0.8,7.4,20465.0,380.0,FY18
60,5th,5320,K‐8 School,87.52%,1.0,28.7,8.0,0.0,1.0,14.0,1.0,0.0,0.9,2.0,56.6,167959.0,0.0,4.6,0.0,1.0,0.0,0.0,0.0,0.0,5.2,1.0,11.7,18825.0,516.0,FY18
61,1st,2640,K‐8 School,74.56%,2.0,41.7,4.8,3.2,1.0,7.0,1.0,1.0,7.0,0.0,68.6,91949.0,0.0,5.2,0.2,1.4,0.0,0.0,0.0,4.0,0.0,1.0,11.9,239496.0,794.0,FY18
62,4th,6450,K‐8 School,53.16%,1.0,12.0,6.8,1.0,1.0,13.0,1.0,0.0,3.0,0.0,38.8,24274.0,0.0,3.2,0.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.4,18261.0,270.0,FY18
63,5th,2210,K‐8 School,61.17%,2.0,24.4,15.8,4.1,2.3,27.0,1.0,0.0,4.0,0.0,80.6,210839.0,0.0,3.4,0.2,2.1,0.0,0.0,0.0,3.0,1.0,0.0,9.7,61088.0,464.0,FY18
64,7th,7300,K‐8 School,80.40%,1.4,41.2,7.8,1.6,1.2,6.0,1.0,4.0,9.0,0.0,73.2,142484.0,0.6,8.0,0.2,2.4,0.0,0.0,0.0,4.0,0.0,1.0,16.2,3825.0,915.0,FY18
65,7th,5520,High School,78.32%,2.0,23.7,7.8,1.7,1.0,13.0,1.0,0.0,2.0,1.0,53.2,58718.0,0.0,3.7,0.2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,5.4,8167.0,516.0,FY18
66,7th,5170,K‐8 School,83.65%,2.0,41.0,10.8,0.2,3.1,22.0,1.0,1.4,0.0,0.0,81.4,85230.0,0.0,5.0,0.2,0.8,0.0,0.0,0.0,4.6,11.0,0.0,21.7,23550.0,903.0,FY18
67,3rd,1360,K‐8 School,83.60%,1.0,19.3,5.8,3.0,2.0,11.0,1.0,4.0,2.0,0.0,49.0,90594.0,1.0,5.8,0.2,0.0,0.0,0.0,0.0,0.0,3.0,1.0,11.0,244199.0,388.0,FY18
68,6th,8010,High School,67.78%,3.6,73.7,25.8,9.3,1.4,29.0,3.0,0.0,4.0,0.0,149.8,235439.0,0.4,15.0,0.2,4.1,0.0,0.0,0.0,2.0,4.0,1.0,26.7,39849.0,1672.0,FY18
69,3rd,1280,K‐8 School,27.57%,1.0,26.0,0.8,1.0,1.0,6.0,0.0,0.0,4.0,0.0,39.8,47659.0,0.0,9.1,2.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.3,1264443.0,578.0,FY18
70,3rd,5090,High School,66.78%,1.0,12.4,2.8,1.0,0.5,4.0,1.0,0.0,0.3,0.0,23.0,88418.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,1.7,0.0,3.5,1942.0,315.0,FY18
71,5th,4270,K‐8 School,88.75%,1.0,21.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,31.0,145639.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,6.0,6.0,0.0,20.0,65152.0,529.0,FY18
72,10th,8440,Elementary School,59.82%,2.0,36.8,11.0,1.0,3.0,18.0,2.0,1.0,1.5,0.0,76.2,106309.0,0.0,7.2,0.0,1.6,0.0,0.0,0.0,1.0,4.5,0.0,14.4,6407.0,859.0,FY18
73,7th,7150,K‐8 School,78.88%,2.0,47.6,5.8,1.8,1.1,3.0,2.0,0.0,5.6,1.0,69.9,132439.0,0.0,8.8,0.2,1.6,0.0,0.0,0.0,4.0,2.4,0.0,17.0,42636.0,1114.0,FY18
74,7th,7500,Middle School,76.42%,1.0,29.1,6.8,0.6,1.0,9.0,1.0,0.0,0.0,0.0,48.5,148048.0,0.0,2.2,1.2,1.4,0.0,0.0,0.0,1.0,4.0,0.0,9.8,139140.0,577.0,FY18
75,2nd,2410,Middle Secondary,32.07%,1.0,28.6,1.8,1.5,1.0,0.0,1.0,0.0,4.0,0.4,39.3,36208.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,88218.0,617.0,FY18
76,8th,6250,K‐8 School,46.15%,1.0,21.7,5.8,1.0,1.0,16.0,1.0,0.0,5.0,0.0,52.5,67959.0,0.0,4.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,31894.0,482.0,FY18
77,4th,6540,High School,49.10%,1.0,15.1,2.8,1.0,1.0,4.0,1.0,0.0,0.0,0.0,25.9,100393.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.2,50802.0,344.0,FY18
78,3rd,1020,High School,77.59%,2.0,23.9,11.8,2.0,1.0,17.0,1.0,0.0,2.0,0.0,60.7,57208.0,1.0,4.3,0.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.5,168813.0,474.0,FY18
79,7th,5230,Middle School,72.84%,1.0,19.7,0.8,1.0,1.0,4.0,1.0,1.0,2.0,0.2,31.6,33648.0,0.0,0.7,1.2,0.0,0.0,0.0,0.0,1.0,0.0,0.8,3.8,4057.0,409.0,FY18
80,4th,4480,K‐8 School,57.35%,1.0,13.4,9.8,1.0,1.0,16.0,1.0,0.0,0.0,0.0,43.1,73606.0,0.0,2.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2594.0,263.0,FY18
81,7th,5660,High School,79.92%,1.0,14.0,1.8,1.0,0.5,0.0,1.0,0.0,0.0,0.0,19.3,34383.0,0.0,0.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,5818.0,271.0,FY18
82,3rd,1470,K‐8 School,86.80%,1.0,20.4,5.8,1.2,1.0,10.0,1.0,0.0,3.0,0.0,43.4,72424.0,1.0,7.8,0.2,0.2,0.0,0.0,0.0,4.0,0.0,1.0,14.2,75325.0,450.0,FY18
83,5th,4560,K‐8 School,87.31%,1.0,16.6,2.8,1.0,1.0,9.0,1.0,0.0,0.0,0.0,32.4,99709.0,0.0,4.2,0.2,1.0,0.0,0.0,0.0,5.0,1.0,0.0,11.4,147053.0,377.0,FY18
84,7th,8350,K‐8 School,75.09%,2.0,59.5,9.8,4.5,3.6,17.0,2.0,0.0,4.0,1.0,103.4,103015.0,0.0,6.8,0.2,3.7,0.0,0.0,0.0,10.0,3.0,0.0,23.7,61496.0,1413.0,FY18
85,8th,6340,Elementary School,85.84%,1.0,15.9,1.8,1.0,1.0,2.0,1.0,0.0,2.0,0.0,25.7,75599.0,0.0,7.2,0.2,0.1,0.0,0.0,0.0,4.0,4.0,0.9,16.4,13041.0,438.0,FY18
86,3rd,1390,Elementary School,62.01%,1.0,10.4,2.8,1.2,1.0,0.0,1.0,0.0,3.0,0.0,20.4,37101.0,0.0,3.8,0.2,0.0,0.0,0.0,0.0,4.0,0.0,0.8,8.8,29503.0,269.0,FY18
87,8th,4360,K‐8 School,88.51%,2.0,20.9,8.0,3.0,1.0,11.0,1.0,1.0,5.0,1.0,53.9,152854.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,4487.0,458.0,FY18
88,1st,5060,High School,80.63%,2.0,38.0,4.8,1.1,1.0,0.0,1.0,0.0,0.0,1.0,48.9,113373.0,0.0,7.0,0.2,0.7,0.0,0.0,0.0,0.0,4.0,0.0,11.9,70396.0,791.0,FY18
89,4th,4280,Elementary School,68.17%,1.0,17.1,5.8,0.4,1.0,13.0,1.0,2.0,8.0,0.0,49.2,66564.0,0.0,6.2,0.2,0.7,0.0,0.0,0.0,5.0,0.0,0.0,12.1,27778.0,339.0,FY18
90,6th,5430,Middle School,75.06%,1.0,21.2,3.8,0.0,1.0,3.0,1.0,0.0,6.0,0.0,36.9,84974.0,0.0,0.1,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.4,11697.0,444.0,FY18
91,1st,2630,K‐8 School,76.75%,1.0,23.1,10.8,0.5,2.0,17.0,1.0,1.0,1.0,0.0,57.4,101359.0,0.0,5.1,0.2,0.7,0.0,0.0,0.0,0.0,4.0,0.0,10.0,36893.0,546.0,FY18
92,7th,7290,K‐8 School,84.89%,1.0,23.3,5.8,0.2,1.0,4.0,1.0,0.0,4.0,0.0,40.3,69879.0,0.0,6.8,0.2,1.2,0.0,1.0,0.0,10.0,0.0,0.0,19.2,77292.0,524.0,FY18
93,2nd,2260,K‐8 School,80.86%,1.0,24.2,8.8,1.8,2.0,12.0,1.0,0.0,5.0,0.0,55.8,35607.0,0.0,4.2,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.7,5.4,7137.0,525.0,FY18
94,1st,2380,K‐8 School,15.13%,1.0,25.1,2.8,1.0,1.0,5.0,1.0,1.5,5.0,0.0,43.4,49311.0,0.0,4.6,1.2,0.0,0.0,0.0,0.0,2.5,0.0,0.0,8.3,29083.0,576.0,FY18
95,9th,7370,Middle School,74.31%,1.0,26.3,7.8,2.2,1.0,16.0,1.0,0.0,0.0,1.0,56.3,61778.0,0.0,2.5,0.2,0.2,0.0,0.0,0.0,5.0,3.0,0.0,10.9,121649.0,547.0,FY18
96,10th,8230,Elementary School,64.49%,1.0,15.5,1.8,1.0,1.0,5.0,1.0,1.0,0.0,0.0,27.3,18769.0,0.0,2.4,0.2,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.6,10716.0,360.0,FY18
97,1st,5700,High School,83.01%,2.0,31.3,9.8,1.0,1.0,11.0,2.0,0.0,2.0,0.0,60.0,188403.0,1.0,5.1,0.2,2.0,0.0,0.0,0.0,0.0,3.0,1.0,12.3,38603.0,589.0,FY18
98,7th,5350,K‐8 School,85.71%,1.0,22.1,5.8,1.2,1.0,13.0,1.0,2.0,3.0,0.0,50.1,43039.0,0.0,4.8,0.2,0.2,0.0,0.0,0.0,3.0,3.0,0.0,11.2,157927.0,455.0,FY18
99,9th,7120,High School,68.40%,3.0,45.7,12.8,2.5,1.2,12.0,2.0,0.0,0.0,0.0,79.2,186786.0,0.0,4.9,0.2,2.3,0.0,0.0,0.0,0.0,9.0,0.0,16.5,55763.0,979.0,FY18
100,1st,2580,K‐8 School,75.45%,1.0,27.6,5.8,2.1,1.0,9.0,1.0,0.0,2.0,0.0,49.5,98719.0,0.0,3.6,0.2,0.7,0.0,0.0,0.0,1.0,2.0,0.0,7.6,14362.0,550.0,FY18
101,8th,7490,Elementary School,77.70%,1.0,20.4,6.8,1.0,1.0,18.0,1.0,3.0,7.0,0.0,59.2,43654.0,0.0,5.8,1.2,1.0,0.0,0.0,0.0,12.0,0.0,1.0,21.0,43078.0,540.0,FY18
102,8th,6220,Elementary School,81.47%,1.0,15.4,4.8,0.6,2.0,10.0,1.0,0.0,3.0,0.0,37.8,100964.0,0.0,5.8,0.2,0.4,0.0,0.0,0.0,4.0,1.0,0.0,11.4,30269.0,395.0,FY18
